Tweet,Sentiment
"['happy', 'mother', 'day', 'mother', 'world']",2
"['min', 'hr', 'mins', 'google', 'wave', 'demo', 'look', 'lot', 'fun', 'would', 'love', 'test', 'though']",2
"['sleepy', 'tabz', 'head', 'bed', 'fun', 'night', 'listen', 'next', 'episode', 'jossd']",2
"['exception', 'short', 'dude', 'larenz', 'fineass', 'tate', 'yum']",1
"['screw', 'review', 'think', 'wolverine', 'awesome', 'enough', 'dominic', 'monaghan', 'liking']",2
"['follow', 'u', 'recently', 'please', 'dont', 'offend', 'havent', 'follow', 'back', 'hit', 'limit', 'hopefully', 'free', 'soon']",2
"['yes', 'work']",1
"['hmmm', 'maybe', 'thats', 'mean', 'elude', 'something', 'brand', 'new', 'know', 'medium']",1
"['spa', 'meet', 'vic', 'late', 'lunch']",1
"['happy', 'monday', 'go', 'tavares', 'today', 'hope', 'everyone', 'bless', 'day']",2
"['always', 'want', 'go', 'oz']",1
['thx'],1
"['cool', 'luv']",2
"['thats', 'need', 'thereto', 'represent', 'blackberry']",2
"['okay', 'im', 'dedicate', 'th', 'tweet', 'fact', 'im', 'go', 'apple', 'store', 'huge', 'crack', 'glass', 'screen']",1
"['could', 'ever', 'actually', 'allow', 'stay']",1
"['let', 'know', 'turn']",1
"['sas', 'detect', 'long', 'isnt', 'back', 'sas', 'haha']",1
"['yeah', 'think', 'ahaha']",2
"['sport', 'bar', 'shatranjanpoli', 'rest', 'ph', 'sport', 'bar', 'andheri', 'dont', 'know', 'whether', 'help', 'google', 'ki', 'jai', 'ho']",1
"['im', 'sleep', 'accepts', 'appology']",0
"['wolverine', 'boss', 'seriously', 'william']",0
"['live', 'pain', 'bring']",1
"['okay', 'im', 'back', 'later']",1
"['powerblog', 'powerblog', 'challenge', 'keep', 'talk', 'im', 'newbie', 'follower']",1
"['almost', 'died', 'laptop', 'screen', 'set', 'brightness', 'reinstalled', 'window', 'vista', 'get', 'headache', 'insanedefaults']",2
"['wait', 'tish', 'get', 'get', 'drive', 'mom', 'crv', 'pick', 'duckie', 'first', 'time']",1
"['try', 'decide', 'movie', 'friend', 'go', 'well', 'lol', 'bible', 'study', 'nite', 'mean', 'day', 'cake', 'buy']",0
"['go', 'shower', 'dont', 'want', 'smell', 'school', 'tomorrow']",1
"['sigh', 'know']",1
"['discover', 'cause', 'bug', 'new', 'netplayer', 'build', 'publishing', 'bug', 'fix', 'hopefully', 'new', 'beta', 'tomorrow']",2
"['free', 'twitter', 'tool', 'get', 'follower']",1
"['get', 'home', 'work', 'chug', 'big', 'bottle', 'apple', 'juice']",1
"['yes', 'please', 'dont', 'go', 'die', 'cry', 'normally', 'lead', 'small', 'animal', 'get', 'harm']",0
"['write', 'report', 'card', 'soooo', 'tire', 'amazing', 'day', 'check', 'fb', 'soon']",2
"['big', 'brotherand', 'im']",1
"['good', 'news', 'finally', 'finish', 'easactive', 'workout', 'pause', 'hour', 'bad', 'news', 'resistance', 'band', 'torn']",1
"['well', 'good', 'morning', 'wonderful', 'day', 'neighborhood', 'thanks', 'follow', 'another', 'morning']",2
"['ftsk', 'mercy', 'mercedes', 'amaze', 'tonight', 'always']",2
"['hope', 'ok']",2
"['cant', 'school', 'already', 'hurt', 'much', 'see', 'every', 'day']",2
"['wait', 'listen', 'wind', 'blow', 'tumbleweed', 'none', 'old', 'enough', 'know', 'someone', 'say', 'crackerack']",1
"['hell', 'yeah']",1
"['shirt', 'dinner', 'need', 'ask', 'actually', 'ville']",1
['know'],1
"['huh', 'smelly', 'noooo', 'love', 'alex', 'vixon']",1
"['go', 'party', 'last', 'night', 'dindin', 'show', 'match', 'outfit', 'great', 'mind', 'think', 'alike', 'anyway', 'happy', 'birthday', 'ate', 'lara']",2
"['happy', 'bday', 'wake', 'side', 'earth', 'wish', 'bit', 'late']",2
"['thank', 'teach', 'value', 'good', 'person', 'day', 'love', 'much', 'youre', 'best', 'mum', 'world']",2
"['happy', 'mother', 'day']",2
"['laugh', 'im', 'glad', 'self', 'confidence', 'wonderful', 'trait', 'ill', 'applaud', 'extra', 'loud', 'okay']",2
['thanks'],2
"['twitter', 'day']",1
"['get', 'ready', 'week', 'nice', 'today', 'stick', 'inside', 'work']",2
"['tres', 'depress']",0
"['felt', 'like', 'behave', 'like', 'son', 'ate', 'compensate', 'pig', 'homeroasted', 'sugar', 'almond', 'painful', 'tum', 'throw', 'still', 'feel', 'sick']",0
"['happy', 'mother', 'day', 'people', 'love', 'mom', 'lot', 'still']",2
"['im', 'sorry', 'hear']",0
"['thats', 'awesome', 'dude', 'yay', 'surprise', 'celebrity', 'get', 'meet', 'year', 'ago', 'soooo', 'friendly']",2
"['make', 'happy', 'hear', 'girl', 'talk', 'tweet', 'nba', 'could', 'give', 'nugget', 'love']",2
"['get', 'hang', 'twitter']",1
"['know', 'neck', 'jack', 'force', 'pay', 'park', 'bc', 'cant', 'turn', 'head', 'parallel', 'park', 'free', 'space']",0
"['want', 'back']",1
"['go', 'miss', 'roomie', 'longer', 'roomy', 'start', 'tomorrow']",0
"['bath', 'two', 'little', 'angel', 'keyla', 'janice']",1
"['yep', 'finish', 'chock', 'full', 'spell', 'grammatical', 'error', 'im', 'clean', 'tomorrow', 'pop', 'hehe']",0
"['hahahha', 'lol', 'true', 'always', 'remember', 'bd', 'never', 'remember', 'date', 'even', 'day']",1
"['family', 'herehanging']",1
"['watch', 'ellen', 'love', 'dish', 'tan', 'gorgeous']",2
"['whats', 'goin', 'hun', 'im', 'worry']",0
"['im', 'bannished', 'work', 'till']",0
"['morning', 'get', 'see', 'ill', 'let', 'know', 'right', 'im', 'go', 'go', 'see', 'wolverine']",1
"['red', 'top', 'tabloid', 'build', 'em', 'knock', 'em']",1
"['tonight', 'party', 'girl', 'minus', 'vita']",2
"['make', 'sad', 'think', 'youd', 'jump', 'joy']",1
['simple'],1
"['pic', 'upload', 'baby', 'pic', 'cat', 'missy', 'adult', 'pretty', 'little', 'kitty', 'batty', 'kitten', 'heaven']",1
"['saw', 'play', 'amaze']",2
"['glad', 'break', 'twitter', 'virginity', 'two']",2
"['dinner', 'fam', 'miss']",0
"['live', 'thats', 'want', 'good', 'bound', 'bad', 'egg', 'though', 'soon', 'learn']",1
"['hell', 'yeah', 'kellynn', 'get', 'twitter', 'finally']",1
"['know', 'worth', 'shot', 'though']",2
"['open', 'facebook', 'account', 'im', 'little', 'confused', 'dont', 'really', 'get', 'twitter', 'seem', 'much', 'good']",2
"['ship', 'im', 'stuck']",0
"['dustbin', 'baby', 'wait']",2
"['go', 'dwell', 'happen', 'passed', 'shame', 'supportive', 'life']",0
"['look', 'like', 'office', 'tv', 'get', 'mlb', 'network', 'look', 'like', 'mlbn', 'televise', 'detbal', 'game', 'today', 'wieters']",1
"['home', 'empty', 'hand', 'comic', 'find', 'today', 'shall', 'indulge', 'cupcake', 'magnolia', 'bakery']",1
"['lay', 'bed', 'til', 'workkk', 'oh', 'life', 'definitely', 'pinch', 'nerve']",0
"['today', 'busy', 'day', 'exhaust']",0
"['go', 'go', 'sunday', 'ive', 'get', 'much', 'go', 'weekend']",1
"['sorry', 'hear', 'ur', 'flight', 'get', 'cancel', 'blow']",0
"['ohh', 'tooth', 'hurts', 'ohh', 'im', 'sad', 'hurt']",0
"['get', 'distracted', 'id', 'like', 'thank', 'new', 'follower', 'take', 'trouble', 'follow', 'feelin', 'love']",2
"['think', 'bill', 'haii', 'finish', 'pay', 'mine', 'thats', 'im', 'break']",0
"['sure', 'didnt', 'say', 'big', 'jst', 'saw', 'pic', 'ur', 'last', 'bday', 'look', 'pretty', 'miss']",1
"['sore', 'throat', 'plan', 'tet', 'marwell', 'thoughgood', 'time']",1
"['mcfly', 'gig', 'last', 'nightt', 'omg', 'amazin', 'didnt', 'sit', 'whole', 'thing', 'mcfly', 'see', 'best', 'mate', 'tutu']",2
"['day', 'without', 'sleep', 'migraine', 'thought', 'life', 'postr', 'mean', 'relax']",0
[],1
['suck'],0
"['whens', 'sway', 'sway', 'winner', 'announce']",1
['check'],1
"['pretty', 'well', 'wide', 'awake']",2
"['want', 'wake', 'early', 'get', 'coffee', 'tomorrow', 'today', 'go', 'busyy', 'day', 'keep', 'write', 'booo', 'whoo']",1
"['miss', 'daddy', 'mommy']",0
"['dog', 'officially', 'depressed', 'brother', 'dog', 'go', 'doesnt', 'want', 'go', 'outside', 'play', 'halfheartedly']",0
"['realize', 'cant', 'forward', 'text', 'msg', 'iphone']",1
"['frist', 'post', 'find', 'new', 'car', 'parent', 'excite']",2
"['argh', 'noo', 'miss', 'killer', 'wossy', 'suck', 'miss', 'brandon', 'total', 'failure', 'anyone', 'know', 'repeat', 'must', 'investigate']",0
"['seriously', 'bore', 'without', 'anyone', 'talk', 'tired', 'enough', 'sleep']",0
"['lose', 'please', 'help', 'find', 'good', 'home']",0
"['peter', 'gordon', 'morning', 'go', 'piece', 'wan', 'na', 'hide', 'go', 'piece', 'almost', 'die', 'ever']",1
"['ok', 'ive', 'get', 'bit', 'bad', 'back', 'lift', 'drum', 'hardware', 'car', 'downer']",0
"['lmao', 'smh', 'one', 'throw']",1
"['oh', 'nice', 'go']",2
"['get', 'ready', 'work', 'work', 'weekend']",1
"['gon', 'na', 'celebrate', 'mother', 'day', 'family', 'gon', 'na', 'start', 'partying', 'tonite']",2
['agree'],2
"['computer', 'hopeless', 'everything', 'els']",0
"['degree', 'gross', 'sky', 'thunderstormsperfect', 'match', 'mood', 'lol']",2
"['nd', 'aww', 'thanks']",2
"['sorry', 'rb', 'p']",0
"['saw', 'amazing', 'heeels', 'big']",1
"['stick', 'finger', 'throat', 'bunch', 'bump', 'tongue', 'throat']",0
"['dang', 'last', 'url', 'go']",0
"['ohoh', 'miss', 'ur', 'tweet', 'im', 'gon', 'na', 'stay', 'awake', 'night', 'see', 'announcement', 'time', 'difference']",0
"['damnit', 'suck', 'one', 'one', 'think', 'id', 'drag', 'back', 'lol']",0
"['bos', 'shes', 'move', 'nyc']",1
"['sooo', 'crazy', 'fever']",0
"['spend', 'saturday', 'morning', 'take', 'note', 'research', 'essay', 'stupid', 'recall', 'book', 'im', 'use', 'fair']",0
"['think', 'need', 'new', 'friend']",1
"['look', 'forward', 'gig', 'ireland', 'see', 'ya']",1
"['please', 'review', 'sunehre', 'ad', 'placement']",2
"['aww', 'loooove']",2
"['hungry', 'twitter', 'want', 'food']",1
"['awesome', 'lucky']",2
"['yea', 'know', 'tell', 'everything', 'p', 'send', 'direct', 'message', 'tell', 'haha']",1
"['haha', 'im', 'jewish', 'love', 'one']",2
"['great', 'time', 'beer', 'garden', 'wit', 'boyos', 'think', 'sun', 'get', 'bite', 'though', 'feel', 'bit', 'ill']",1
"['lm', 'day', 'matt', 'fun', 'weekend']",0
"['really', 'dont', 'think', 'maybe', 'ur', 'rightlol', 'btw', 'phone', 'use', 'think', 'told', 'bi', 'might', 'app']",1
"['feel', 'pain', 'mine', 'way']",0
"['come', 'home', 'two', 'day']",1
